PMID;First Author;Publication Date;Title;Abstract;DOI;classification;species;country;statistics;optimization;strategies;notes;human;pred;TRUE
36700212;Li L;2022;A highly efficient indirect ELISA and monoclonal antibody established against African swine fever virus pK205R.;African swine fever (ASF) is a contagious infectious disease with high lethality which continuously threatens the global pig industry causing huge economic losses. Currently, there are no commercially available vaccines or antiviral drugs that can effectively control ASF. The pathogen of ASF, ASF virus (ASFV) is a double-stranded DNA virus with a genome ranging from 170 to 193 kb and 151 to 167 open reading frames in various strains, which encodes 150-200 proteins. An effective method of monitoring ASFV antibodies, and specific antibodies against ASFV to promote the development of prevention techniques are urgently needed. In the present study, pK205R of ASFV was successfully expressed in mammalian cells using a suspension culture system. An indirect enzyme-linked immunosorbent assay (ELISA) based on the purified pK205R was established and optimized. The monoclonal antibody (mAb) against pK205R recognized a conservative linear epitope ((2)VEPREQFFQDLLSAV(16)) and exhibited specific reactivity, which was conducive to the identification of the recombinant porcine reproductive and respiratory syndrome virus (PRRSV) expressing pK205R. The ELISA method efficiently detected clinical ASFV infection and revealed good application prospects in monitoring the antibody level in vivo for recombinant PRRSV live vector virus expressing the ASFV antigen protein. The determination of the conserved linear epitope of pK205R would contribute to further research on the structural biology and function of pK205R. The indirect ELISA method and mAb against ASFV pK205R revealed efficient detection and promising application prospects, making them ideal for epidemiological surveillance and vaccine research on ASF.;10.3389/fimmu.2022.1103166;not included;pigs;unknown;unknown;mentioned but not applied;unknown;excluded due to laboratory technique focus;0;0;0
25635701;Abdelwhab EM;2015;Epidemiology, ecology and gene pool of influenza A virus in Egypt: will Egypt be the epicentre of the next influenza pandemic?;Outside Asia, Egypt is considered to be an influenza H5N1 epicentre and presents a far greater pandemic risk than other countries. The long-term endemicity of H5N1 and the recent emergence of H9N2 in poultry call attention to the need for unravelling the epidemiology, ecology and highly diverse gene pool of influenza A virus (IAV) in Egypt which is the aim of this review. Isolation of a considerable number of IAV subtypes from several avian and mammalian hosts was described. Co-infections of poultry with H5N1 and H9N2 and subclinical infections of pigs and humans with H1N1 and H5N1 may raise the potential for the reassortment of these viruses. Moreover, the adjustment of IAV genomes, particularly H5N1, to optimize their evolution toward efficient transmission in human is progressing in Egypt. Understanding the present situation of influenza viruses in Egypt will help in the control of the disease and can potentially prevent a possible pandemic.;10.4161/21505594.2014.992662;not included;birds pigs humans;egypt;unknown;mentioned but not applied;unknown;does not focus on specific disease surveillance methods;0;0;0
30151593;Imperiale MJ;2018;The Silver Lining in Gain-of-Function Experiments with Pathogens of Pandemic Potential.;Half a decade after the contentious gain-of-function (GOF) debate of 2012 that followed experimentation showing that highly pathogenic avian influenza virus could become mammalian transmissible, it is possible to reflect on the arguments for and against this type of research. In this essay we argue that GOF-type experiments have already produced important information not available from any other source while also providing information on pathogenesis and the requirements for optimizing strains for vaccine production. We analyze the moral arguments against GOF and find them less compelling for a variety of reasons ranging from the uncertainty of risk-benefit analysis to the reduced likelihood of accidents given the enhanced biosafety and biosecurity protocols currently in place. In our view the most important consequence of the GOF debate is that it brought renewed attention to biosafety protocols and ushered innovation in answering the relevant biological questions with greater safety. We conclude that GOF experiments should go forward provided that necessary biosafety and biosecurity conditions are in place.;10.1007/978-1-4939-8678-1_28;not included;unknown;unknown;unknown;mentioned but not applied;unknown;does not meet criteria;0;0;0
36680090;Li L;2022 Dec 23;The Indirect ELISA and Monoclonal Antibody against African Swine Fever Virus p17 Revealed Efficient Detection and Application Prospects.;Since 2018, the outbreak and prevalence of the African swine fever virus (ASFV) in China have caused huge economic losses. Less virulent ASFVs emerged in 2020, which led to difficulties and challenges for early diagnosis and control of African swine fever (ASF) in China. An effective method of monitoring ASFV antibodies and specific antibodies against ASFV to promote the development of prevention techniques are urgently needed. In the present study, ASFV p17 was successfully expressed in CHO cells using a suspension culture system. An indirect enzyme-linked immunosorbent assay (ELISA) based on purified p17 was established and optimized. The monoclonal antibody (mAb) against p17 recognized a conservative linear epitope ((3)TETSPLLSH(11)) and exhibited specific reactivity, which was conducive to the identification of recombinant porcine reproductive and respiratory syndrome virus (PRRSV) expressing p17. The ELISA method efficiently detected clinical ASFV infection and effectively monitored the antibody levels in vivo after recombinant PRRSV live vector virus expressing p17 vaccination. Overall, the determination of the conserved linear epitope of p17 would contribute to the in-depth exploration of the biological function of the ASFV antigen protein. The indirect ELISA method and mAb against ASFV p17 revealed efficient detection and promising application prospects, making them ideal for epidemiological surveillance and vaccine research on ASF.;10.3390/v15010050;not included;pigs;china;probabilistic;mentioned but not applied;risk-based monitoring;laboratory techniques excluded or false;0;0;0
29799177;Podgórski T;2018 Dec;Do wild boar movements drive the spread of African Swine Fever?;The spatial behaviour of hosts can seriously affect the transmission of pathogens and spatial spread of diseases. Understanding the relationship between host movements and disease dynamics is of prime importance for optimizing disease control efforts. African swine fever (ASF), a devastating disease of wild and domestic suids, has been spreading continuously through eastern Europe since 2007. The wild boar (Sus scrofa) has been implicated in the epidemiology of this disease, but the role of wild boar movements in ASF dynamics and spread has not been studied and remains largely speculative. Here, we examined whether monthly parameters of wild boar movements (dispersal distance of yearlings, home range size of adult males and females) can explain variation in the spatio-temporal dynamics of the ASF outbreak in the wild boar population in north-eastern Poland, 2014-2015. We expected to observe a positive relationship between host mobility and disease spread. Contrary to our expectations, we found that movements of wild boar, despite their seasonal variation, were poor predictors of ASF dynamics in space and time. During the 2 years of the study, ASF spread gradually at a steady pace of 1.5 km/month without significant changes across seasons. None of the analysed movement parameters explained variation in the measures of ASF occurrence and spread (i.e., number of cases, prevalence, size and expansion rate of the outbreak area). We believe that the factor limiting the influence of host movements on ASF dynamics is the severity of the disease, which quickly hampers extensive movements and restricts disease transmission to only the most immediate individuals. Three natural factors constrain direct disease transmission: wild boar social structure, the short duration of low-level virus shedding and high virus-induced lethality, followed by indirect transmission through infected carcasses. These most likely shape the gradual spread of ASF in space and its persistence in already infected areas.;10.1111/tbed.12910;not included;wild boar;poland;mechanistic modelling;mentioned but not applied;unknown;does not focus on optimization or statistical methods for disease surveillance;1;0;1
39339917;Snoeck CJ;2024 Sep 10;Comparison of Extraction Methods for the Detection of Avian Influenza Virus RNA in Cattle Milk.;Since early 2024, a multistate outbreak of highly pathogenic avian influenza H5N1 has been affecting dairy cattle in the USA. The influenza viral RNA concentrations in milk make it an ideal matrix for surveillance purposes. However, viral RNA detection in multi-component fluids such as milk can be complex, and optimization of influenza detection methods is thus required. Raw bulk tank milk and mastitis milk samples were artificially contaminated with an avian influenza strain and subjected to five extraction methods. HCoV-229E and synthetic RNA were included as exogenous internal process controls. Given the high viral load usually observed in individual raw milk samples, four out of five tested methods would enable influenza detection in milk with normal texture, over a time window of at least 2 weeks post-onset of clinical signs. Nevertheless, sample dilution 1:3 in molecular transport medium prior to RNA extraction provided the best results for dilution of inhibitory substances and a good recovery rate of influenza RNA, that reached 12.5 ± 1.2% and 10.4 ± 3.8% in two independent experiments in bulk milk and 11.2 ± 3.6% and 10.0 ± 2.9% on two cohorts of mastitis milk samples. We have also shown compatibility of an influenza RT-qPCR system with synthetic RNA detection for simultaneous validation of the RNA extraction and RT-qPCR processes.;10.3390/v16091442;not included;cattle;usa;probabilistic;mentioned but not applied;risk-based monitoring;not meeting criteria due to lack of modeling and optimization details;0;0;0
38206527;Kimi R;2024 Jan 11;Spatio-temporal dynamics and distributional trend analysis of African swine fever outbreaks (2020-2021) in North-East India.;African swine fever (ASF) is a highly contagious, notifiable, and fatal hemorrhagic viral disease affecting domestic and wild pigs. The disease was reported for the first time in India during 2020, resulted in serious outbreaks and economic loss in North-Eastern (NE) parts, since 47% of the Indian pig population is distributed in the NE region. The present study focused on analyzing the spatial autocorrelation, spatio-temporal patterns, and directional trend of the disease in NE India during 2020-2021. The ASF outbreak data (2020-2021) were collected from the offices of the Department of Animal Husbandry and Veterinary Services in seven NE states of India to identify the potential clusters, spatio-temporal aggregation, temporal distribution, disease spread, density maps, and risk zones. Between 2020 and 2021, a total of 321 ASF outbreaks were recorded, resulting in 59,377 deaths. The spatial pattern analysis of the outbreak data (2020-2021) revealed that ASF outbreaks were clustered in 2020 (z score = 2.20, p < .01) and 2021 (z score = 4.89, p < .01). Spatial autocorrelation and Moran's I value (0.05-0.06 in 2020 and 2021) revealed the spatial clustering and spatial relationship between the outbreaks. The hotspot analysis identified districts of Arunachal Pradesh, Assam and districts of Mizoram, Tripura as significant hotspots in 2020 and 2021, respectively. The spatial-scan statistics with a purely spatial and purely temporal analysis revealed six and one significant clusters, respectively. Retrospective unadjusted, temporal, and spatially adjusted space-time analysis detected five, five, and two statistically significant (p < .01) clusters, respectively. The directional trend analysis identified the direction of disease distribution as northeast-southwest (2020) and north-south (2021), indicate the possibility of ASF introduction to India from China. The high-risk zones and spatio-temporal pattern of ASF outbreaks identified in the present study can be used as a guide for deploying proper prevention, optimizing resource allocation and disease control measures in NE Indian states.;10.1007/s11250-023-03883-y;not included;pigs;india;spatial autocorrelation;moran's i;hotspot analysis;spatio-temporal pattern analysis;0;0;0
35733347;Mai NT;2022 Sep;Early-phase risk assessments during the first epidemic year of African swine fever outbreaks in Vietnamese pigs.;BACKGROUND: African swine fever (ASF) is a notifiable viral disease of pigs and wild boars that could lead to serious economic losses for the swine industry. OBJECTIVES: The aim of this study was to identify risk factors in the early phase of ASF outbreaks in Vietnamese swine herds during the first epidemic year. METHODS: The period of interest for this case-control study was February to July 2019. A questionnaire was administered in northern Vietnam where all early cases of ASF were reported. Producers of herds with reported cases were asked to provide information starting from the day of onset of clinical signs as well as 30 days prior to that day. The period of interest for controls was within the 6 months of the first outbreak in Vietnam (February 2019). Questionnaires included 55 questions. responses were received from 67 cases and 115 controls. Logistic regression analysis was used to identify factors associated with ASF status. RESULTS: Thirty-seven variables of interest (among a total of 55 variables) were associated with ASF status in univariate analysis (p < 0.05). These 37 variables were assessed for inclusion in the multivariate analysis by backward stepwise selection. Six variables remained significant as ASF risk factors in the final model: distance to farm within 500 m, distance of irrigation systems within 200 m, total number of pigs (≤500), absence of dressing rooms for workers/visitors before entering the farm, poor hygienic practices for people within the farm, and poor hygienic practices at pig loading/unloading locations. CONCLUSIONS: These results may help in understanding the epidemiology of ASF in Vietnam and provide a scientific basis for optimization of current interventions and development of new tools and strategies to reduce transmission of ASF.;10.1002/vms3.852;not included;pigs;vietnam;logistic regression;mentioned but not applied;risk-based monitoring;does not meet criteria for modelling or optimization;0;0;0
35612629;Zhao H;2022 Jun;HRP-conjugated-nanobody-based cELISA for rapid and sensitive clinical detection of ASFV antibodies.;African swine fever (ASF), which is caused by the ASF virus (ASFV), is a highly contagious hemorrhagic disease that causes high mortality to domestic porcine and wild boars and brings huge economic losses to world swine industry. Due to the lack of an effective vaccine, the control of ASF must depend on early, efficient, and cost-effective detection and strict control and elimination strategies. Traditional serological testing methods are generally associated with high testing costs, complex operations, and high technical requirements. As a promising alternative diagnostic tool to traditional antibodies, nanobodies (Nb) have the advantages of simpler and faster generation, good stability and solubility, and high affinity and specificity, although the system is dependent on the immunization of Bactrian camels to obtain the specific VHH library of the target protein. The application of Nbs in the detection of ASFV antibodies has not yet been reported yet. Using a phage display technology, one Nb against the ASFV p54 protein that exhibited high specificity and affinity, Nb8, was successfully screened. A HEK293T cell line stably expressing Nb8-horseradish peroxidase (HRP) fusion protein was established using the lentiviral expression system. Following the optimization of the reaction conditions, the Nb8-HRP fusion protein was successfully used to establish a competitive enzyme-linked immunosorbent assay (cELISA) to detect ASFV-specific antibodies in pig serum, for the first time. There was no cross-reaction with healthy pig serum, porcine pseudorabies virus (PRV), porcine reproductive and respiratory syndrome virus (PRRSV), classical swine fever virus (CSFV), porcine epidemic diarrhea virus (PEDV), and classical swine fever virus (CSFV) positive sera. The optimal cut-off value for the cELISA by ROC analysis was 52.5%. A total of 209 serum samples were tested using the developed cELISA and a commercial ELISA kit. The results showed that the relative specificity of the cELISA was 98.97%, and the relative sensitivity of the cELISA was 93.3%, with the percent agreement between the two ELISA methods being 98.56%. In conclusion, a specific, sensitive, and repeatable cELISA was successfully developed based on the Nb8 as a probe, providing a promising method for the detection of anti-ASFV antibodies in clinical pig serum. KEY POINTS: • We successfully screened a specific, high affinity nanobody against ASFV p54 protein. • We establish a method for continuous and stable expression of Nb-HRP fusion protein using a lentiviral packaging system. • We establish a nanobody cELISA detection method that can monitor an ASF infection.;10.1007/s00253-022-11981-4;not included;pigs;unknown;unknown;mentioned but not applied;unknown;does not meet inclusion criteria;0;0;0
27611939;Giménez-Lirola LG;2016;Detection of African Swine Fever Virus Antibodies in Serum and Oral Fluid Specimens Using a Recombinant Protein 30 (p30) Dual Matrix Indirect ELISA.;In the absence of effective vaccine(s), control of African swine fever caused by African swine fever virus (ASFV) must be based on early, efficient, cost-effective detection and strict control and elimination strategies. For this purpose, we developed an indirect ELISA capable of detecting ASFV antibodies in either serum or oral fluid specimens. The recombinant protein used in the ELISA was selected by comparing the early serum antibody response of ASFV-infected pigs (NHV-p68 isolate) to three major recombinant polypeptides (p30, p54, p72) using a multiplex fluorescent microbead-based immunoassay (FMIA). Non-hazardous (non-infectious) antibody-positive serum for use as plate positive controls and for the calculation of sample-to-positive (S:P) ratios was produced by inoculating pigs with a replicon particle (RP) vaccine expressing the ASFV p30 gene. The optimized ELISA detected anti-p30 antibodies in serum and/or oral fluid samples from pigs inoculated with ASFV under experimental conditions beginning 8 to 12 days post inoculation. Tests on serum (n = 200) and oral fluid (n = 200) field samples from an ASFV-free population demonstrated that the assay was highly diagnostically specific. The convenience and diagnostic utility of oral fluid sampling combined with the flexibility to test either serum or oral fluid on the same platform suggests that this assay will be highly useful under the conditions for which OIE recommends ASFV antibody surveillance, i.e., in ASFV-endemic areas and for the detection of infections with ASFV isolates of low virulence.;10.1371/journal.pone.0161230;not included;pigs;unknown;unknown;mentioned but not applied;unknown;does not meet criteria for modelling or optimization;0;0;0
35698807;Wang Y;2022 Jul;Development of a ladder-shape melting temperature isothermal amplification (LMTIA) assay for detection of African swine fever virus (ASFV).;BACKGROUND: Due to the unavailability of an effective vaccine or antiviral drug against the African swine fever virus (ASFV), rapid diagnosis methods are needed to prevent highly contagious African swine fever. OBJECTIVES: The objective of this study was to establish the ladder-shape melting temperature isothermal amplification (LMTIA) assay for the detection of ASFV. METHODS: LMTIA primers were designed with the p72 gene of ASFV as the target, and plasmid pUC57 was used to clone the gene. The LMTIA reaction system was optimized with the plasmid as the positive control, and the performance of the LMTIA assay was compared with that of the commercial real-time polymerase chain reaction (PCR) kit in terms of sensitivity and detection rate using 200 serum samples. RESULTS: Our results showed that the LMTIA assay could detect the 10(4) dilution of DNA extracted from the positive reference serum sample, which was the same as that of the commercial real-time PCR kit. The coincidence rate between the two assays was 100%. CONCLUSIONS: The LMTIA assay had high sensitivity, good detection, and simple operation. Thus, it is suitable for facilitating preliminary and cost-effective surveillance for the prevention and control of ASFV.;10.4142/jvs.22001;not included;african swine;unknown;isothermal amplification;mentioned but not applied;unknown;does not focus on disease surveillance strategies;0;0;0
34260273;Liu H;2021 Sep 20;A Semiautomated Luciferase Immunoprecipitation Assay for Rapid and Easy Detection of African Swine Fever Virus Antibody.;African swine fever (ASF) is a highly contagious viral disease of domestic pigs and wild boars. For disease surveillance and control, we developed a rapid and easy luciferase immunoprecipitation assay (MB-LIPS) to detect ASF virus (ASFV) antibody. The MB-LIPS is based on magnetic beads modified with protein A/G and the recombinant fusion protein of ASFV p30 and luciferase, where p30 functioned as the recognition element and luciferase as the signal component. Incubation and washing could be finished automatically on a machine with magnetic rods. Under optimal conditions, the MB-LIPS showed 96.3% agreement to a commercial enzyme-linked immunosorbent assay (ELISA) kit for detecting ASFV antibody in swine sera. Analyzing serial dilutions of a swine serum sample showed that the MP-LIPS assay was 4 times more sensitive than the ELISA kit. The whole run of the MB-LIPS could be completed within 30 min. With its high sensitivity and simple operation, the MB-LIPS platform has great potential to be used for the detection of ASFV antibody and ASF control in small labs and farms.;10.1128/JCM.00990-21;not included;pigs;unknown;unknown;mentioned but not applied;unknown;excluded due to laboratory method focus;0;0;0
33669073;Elnagar A;2021 Feb 25;Swift and Reliable Easy-Lab Methods for the Sensitive Molecular Detection of African Swine Fever Virus.;African swine fever (ASF) is a contagious viral hemorrhagic disease of domestic pigs and wild boars. The disease is notifiable to the World Organisation for Animal Health (OIE) and is responsible for high mortality and serious economic losses. PCR and real-time PCR (qPCR) are the OIE-recommended standard methods for the direct detection of African swine fever virus (ASFV) DNA. The aim of our work was the simplification and standardization of the molecular diagnostic workflow in the lab. For validation of this easy-lab workflow, different sample materials from animal trials were collected and analyzed (EDTA blood, serum, oral swabs, chewing ropes, and tissue samples) to identify the optimal sample material for diagnostics in live animals. Based on our data, the EDTA blood samples or bloody tissue samples represent the best specimens for ASFV detection in the early and late phases of infection. The application of prefilled ready-to-use reagents for nucleic acid extraction or the use of a Tissue Lysis Reagent (TLR) delivers simple and reliable alternatives for the release of the ASFV nucleic acids. For the qPCR detection of ASFV, different published and commercial kits were compared. Here, a lyophilized commercial kit shows the best results mainly based on the increased template input. The good results of the easy-lab strategy could be confirmed by the ASFV detection in field samples from wild boars collected from the 2020 ASFV outbreak in Germany. Appropriate internal control systems for extraction and PCR are key features of the easy-lab concept and reduce the risk of false-negative and false-positive results. In addition, the use of easy-to-handle machines and software reduces training efforts and the misinterpretation of results. The PCR diagnostics based on the easy-lab strategy can realize a high sensitivity and specificity comparable to the standard PCR methods and should be especially usable for labs with limited experiences and resources.;10.3390/ijms22052307;not included;pigs;germany;pcr;mentioned but not applied;risk-based monitoring;not a modelling study;0;0;0
22312990;Lee DH;2011 Dec;Antiviral efficacy of oseltamivir against avian influenza virus in avian species.;Avian influenza is one of the most contagious viral diseases in bird species and, increasingly, interspecies transmission to mammalian species has been reported. Prevention and eradication of avian influenza virus (AIV) infection in birds may require vaccines as part of a comprehensive program including biosecurity, culling, diagnostics, and surveillance. However, for valuable bird species in zoos, novel eradication strategies are needed, including antiviral treatments. The present study evaluated the anti-influenza efficacy of the potent neuraminidase inhibitor oseltamivir in avian species using the orders Galliformes (chickens) and Anseriformes (ducks). Viral replication of low pathogenic AIV was significantly reduced in the chicken model and completely reduced in the duck model. Anti-influenza drug administration to valuable bird species with an appropriate extrapolation approach could be useful for control of AIV in combination with active surveillance and vaccination strategies. Further, evaluation of oseltamivir against highly pathogenic avian influenza (HPAI) using avian models would be needed to optimize the oseltamivir application guideline for HPAI control.;10.1637/9725-031811-ResNote.1;not included;birds;unknown;unknown;mentioned but not applied;unknown;does not meet criteria as modelling and optimization unclear;0;0;0
40303158;An Q;2024;Spatial and Temporal Characteristic Analysis and Risk Assessment of Global Highly Pathogenic Avian Influenza H5N8 Subtype.;H5N8 HPAI is a highly infectious avian disease that now poses a serious threat and potential risk to poultry farming, wild birds, and public health. In this study, to investigate the seasonality and transmission directionality of global H5N8 HPAI, the spatial and temporal analysis of H5N8 HPAI was conducted using time series decomposition and directional distribution analysis. An ecological niche model was developed for H5N8 HPAI in poultry to identify areas at high risk of H5N8 HPAI in poultry and associated risk factors. The results indicated that three global pandemics of H5N8 HPAI emerged from 2014 to 2022, all showing a southeast-northwest distribution direction. H5N8 HPAI occurred more frequently in winter and less frequently in summer. The southwestern border region and the southeastern region of North America, the southern region of South America, most of Europe, the southern border region and the northern border region of Africa, and the southwestern region and the southeastern region of Asia provide the suitable environment for the occurrence of H5N8 HPAI in poultry. Chicken density, duck density, population density, bio1 (annual mean temperature), and land cover were considered important variables for the occurrence of H5N8 HPAI in poultry. This study can help optimize the use of resources and provide new information for policymakers to carry out prevention and control efforts.;10.1155/2024/5571668;not included;birds;unknown;time series decomposition;mentioned but not applied;risk assessment;excluded due to not meeting modelling and optimization criteria;0;0;0
38988336;Wilson J;2024 Jul;It's time to apply outbreak response best practices to avian influenza: A national call to action.;Cases of high pathogenicity avian influenza (HPAI) in Canada are upon us again and with reports of infection in US dairy cattle and a dairy farmer in the United States, concern has been raised. Although panic isn't helpful, this heightened level of concern is appropriate, given that reports of human infections with the H5N1 virus often indicate high mortality rates. These can range from 14 to 50%. The current devastating impact of the virus on the poultry industry, as well as its propensity to mutate are also reasons for concern. At the same time, HPAI provides an opportunity for the poultry and livestock industries to align and organize coherently for the management of all zoonotic diseases and other industry issues. To manage HPAI more effectively, it is essential to align all stakeholders under Outbreak Response Best Practices using a formal Quality Management System (QMS). The objective of this article is to describe this approach with examples drawn from management of the Walkerton waterborne disease crisis. We urge the veterinary profession to rise to the challenge of HPAI and use it as a context in which to align more coherently with national stakeholders for the prevention and management of all priority issues within the areas of Agri-food and Public Health.;;not included;birds;canada;unknown;mentioned but not applied;risk-based monitoring;does not meet criteria;0;0;0
34791799;Soler V;2022 Jan;Health status of free-ranging pure and cross-mixed miniature swine population from Northeast Spain.;BACKGROUND: Miniature pigs have gained popularity as companion animals in the recent years in Spain. Due to the fact that their abandonment and crossing breeds with wild boars can cause severe problems, investigation about the health status is needed. OBJECTIVES: The aim of this study was to determine their health status according to the clinical findings during physical examination and the results of antibody serology tests against selected infectious diseases. METHODS: Two-hundred and eleven miniature pigs (Sus scrofa) were included in the study. Their origin, age, sex, housing conditions and diet were recorded. RESULTS: The housing of the animals ranged from wild animals to ones living in animal sanctuaries. The diet varied from a natural one in the wild to commercial and homemade food. Thirty animals out of two-hundred and eleven were hybrids between miniature pigs and wild boars according to morphological characteristics. Antibody serology techniques of Influenza A virus, Hepatitis E virus, brucellosis, tuberculosis, African swine fever, Classical swine fever and Aujeszky's disease was performed. The prevalence for Influenza A was 5.30%, for Hepatitis E was 5.35% and the rest tested negative. It is important to control and monitor these zoonotic infections to prevent Public Health problems. CONCLUSIONS: The results obtained from this investigation demonstrated that the animals' health status in this study is optimal and the diseases prevalence is similar or minor when compared to previous studies. This study confirms the hybridization of miniature pig and wild boar in Catalonia.;10.1002/vms3.665;not included;pigs;spain;serology;mentioned but not applied;unknown;study focuses on health status not surveillance or modelling;0;0;0
35682982;Duong BT;2022 Jun 4;Development of a Rapid Fluorescent Diagnostic System for Early Detection of the Highly Pathogenic Avian Influenza H5 Clade 2.3.4.4 Viruses in Chicken Stool.;Rapid diagnosis is essential for the control and prevention of H5 highly pathogenic avian influenza viruses (HPAIVs). However, highly sensitive and rapid diagnostic systems have shown limited performance due to specific antibody scarcity. In this study, two novel specific monoclonal antibodies (mAbs) for clade 2.3.4.4 H5Nx viruses were developed by using an immunogen from a reversed genetic influenza virus (RGV). These mAbs were combined with fluorescence europium nanoparticles and an optimized lysis buffer, which were further used for developing a fluorescent immunochromatographic rapid strip test (FICT) for early detection of H5Nx influenza viruses on chicken stool samples. The result indicates that the limit of detection (LoD) of the developed FICT was 40 HAU/mL for detection of HPAIV H5 clade 2.3.4.4b in spiked chicken stool samples, which corresponded to 4.78 × 10(4) RNA copies as obtained from real-time polymerase chain reaction (RT-PCR). An experimental challenge of chicken with H5N6 HPAIV is lethal for chicken three days post-infection (DPI). Interestingly, our FICT could detect H5N6 in stool samples at 2 DPI earlier, with 100% relative sensitivity in comparison with RT-PCR, and it showed 50% higher sensitivity than the traditional colloidal gold-based rapid diagnostic test using the same mAbs pair. In conclusion, our rapid diagnostic method can be utilized for the early detection of H5Nx 2.3.4.4 HPAIVs in avian fecal samples from poultry farms or for influenza surveillance in wild migratory birds.;10.3390/ijms23116301;not included;chickens;unknown;unknown;mentioned but not applied;unknown;does not meet criteria;0;0;0
21703008;Liu CG;2011 Jun 26;Evaluation of several adjuvants in avian influenza vaccine to chickens and ducks.;The effects of three different adjuvants, mineral oil, Montanide™ ISA 70M VG, and Montanide™ ISA 206 VG, were evaluated on reverse genetics H5N3 avian influenza virus cell cultured vaccine. The immune results of SPF chickens after challenging with highly pathogenic avian influenza (HPAI) virus demonstrated that mineral oil adjuvant group and 70M adjuvant group provided 100% protection efficiency, but 206 adjuvant group provided only 40%. Statistical analysis indicated that the protection effects of mineral oil adjuvant group and the 70M adjuvant showed no significant difference to each other, but with significant difference to 206 adjuvant group. All three groups could induce high titres of antibody after immunizing SPF ducks, but there was no significant difference among them. The immunization effect of 70M adjuvant group on SPF chickens were the best and showed significant difference compared with optimized 70Mi Montanide™ eight series adjuvants groups. These results suggest that 70M adjuvant could be a novel adjuvant for preparing avian influenza vaccine.;10.1186/1743-422X-8-321;not included;chickens;ducks;statistical analysis;mentioned but not applied;unknown;does not involve modelling or optimization techniques;0;0;0
22312986;Molia S;2011 Dec;Avian influenza and Newcastle disease in three risk areas for H5N1 highly pathogenic avian influenza in Mali, 2007-2008.;Our survey aimed to investigate avian influenza (AI) and Newcastle disease (ND) prevalence and risk factors in three areas of Mali at risk for occurrence of H5N1 highly pathogenic avian influenza. Blood samples and cloacal and oropharyngeal swabs were collected from 1470 birds between February 2007 and May 2008 and were tested by commercial enzyme-linked immunosorbent assay to detect antibodies and real-time reverse-transcription (rRT)-PCR to detect virus. Risk factors associated with seropositivity or positive rRT-PCR were identified by random effect logistic regression. AI seroprevalence was significantly lower in birds from commercial farms (0%) than in village backyard birds (3.1%). For backyard birds, no individual risk factors (species, age, sex) were identified, but birds in the Mopti area in the Sahelian zone, where millions of wild birds migrate, were more seropositive than in the Sikasso area in the Sudano-Guinean zone (odds ratio [OR] = 2.0, P = 0.051). Among backyard birds nonvaccinated against ND, ND seroprevalence was 58.4%, and the odds of seropositivity was 2.0 higher in chickens than in ducks, 1.7 higher in females than in males, 3.1 higher in adults than in young birds, and 3.0 higher in poultry from the Sikasso area than from the Mopti area (P < 0.01 in all cases). Prevalence established by rRT-PCR was low for both AI virus (1.1%) and ND virus (2.6%) and was associated with no risk factors for AI but was higher in chickens than in ducks (OR = 5.3, P = 0.05) and in the Sikasso area than in the Mopti area (OR = 3.4, P = 0.027) for ND. For AI and ND, prevalence assessed by serology or rRT-PCR varied over time, although seasonal and interannual variation could not be clearly distinguished. The intracluster correlation coefficient for serologic data was low for AI (0.014) and higher for ND (0.222). These results are useful to optimize surveillance and control strategy for notifiable avian diseases in African countries with similar agroecological and resource-limited contexts.;10.1637/9775-050911-Reg.1;not included;birds;mali;logistic regression;mentioned but not applied;risk-based monitoring;does not meet criteria for modelling or optimization;0;0;0
32376941;Kondru N;2020 May 6;An Ex Vivo Brain Slice Culture Model of Chronic Wasting Disease: Implications for Disease Pathogenesis and Therapeutic Development.;Chronic wasting disease (CWD) is a rapidly spreading prion disease of cervids, yet antemortem diagnosis, treatment, and control remain elusive. We recently developed an organotypic slice culture assay for sensitive detection of scrapie prions using ultrasensitive prion seeding. However, this model was not established for CWD prions due to their strong transmission barrier from deer (Odocoileus spp) to standard laboratory mice (Mus musculus). Therefore, we developed and characterized the ex vivo brain slice culture model for CWD, using a transgenic mouse model (Tg12) that expresses the elk (Cervus canadensis) prion protein gene (PRNP). We tested for CWD infectivity in cultured slices using sensitive seeding assays such as real-time quaking-induced conversion (RT-QuIC) and protein misfolding cyclic amplification (PMCA). Slice cultures from Tg12, but not from prnp(-/-) mice, tested positive for CWD. Slice-generated CWD prions transmitted efficiently to Tg12 mice. Furthermore, we determined the activity of anti-prion compounds and optimized a screening protocol for the infectivity of biological samples in this CWD slice culture model. Our results demonstrate that this integrated brain slice model of CWD enables the study of pathogenic mechanisms with translational implications for controlling CWD.;10.1038/s41598-020-64456-9;not included;deer;elk;mouse;unknown;mentioned but not applied;excluded due to laboratory techniques;0;0;0
